,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
participant_intercept[141],-2.694,0.985,-4.536,-0.844,0.005,0.004,39537.0,10507.0,1.0
participant_intercept[142],-2.381,0.955,-4.084,-0.501,0.005,0.004,37090.0,10782.0,1.0
participant_intercept[143],0.46,0.971,-1.419,2.213,0.005,0.008,39908.0,10844.0,1.0
participant_intercept[144],0.134,0.994,-1.786,2.007,0.005,0.01,41317.0,9851.0,1.0
participant_intercept[145],-1.121,0.973,-2.947,0.714,0.005,0.006,44865.0,11085.0,1.0
participant_intercept[146],2.082,0.967,0.275,3.897,0.005,0.004,39767.0,10432.0,1.0
participant_intercept[147],0.823,0.983,-1.028,2.669,0.005,0.007,38861.0,10024.0,1.0
participant_intercept[148],0.902,0.99,-0.966,2.776,0.005,0.006,41275.0,10040.0,1.0
participant_intercept[149],-0.657,0.979,-2.498,1.172,0.005,0.007,38379.0,10947.0,1.0
participant_intercept[150],0.829,0.974,-1.032,2.631,0.005,0.007,39241.0,10534.0,1.0
participant_intercept[151],0.933,0.979,-0.908,2.778,0.005,0.007,38721.0,10952.0,1.0
participant_intercept[152],0.941,0.998,-0.949,2.819,0.005,0.006,39232.0,10471.0,1.0
participant_intercept[153],0.918,0.976,-0.828,2.843,0.005,0.006,38470.0,10689.0,1.0
participant_intercept[154],-0.465,0.994,-2.386,1.392,0.005,0.008,39687.0,10569.0,1.0
participant_intercept[155],0.514,0.973,-1.37,2.298,0.005,0.008,44485.0,10929.0,1.0
participant_intercept[156],2.225,0.98,0.431,4.103,0.005,0.004,38699.0,10658.0,1.0
participant_intercept[157],-0.901,0.97,-2.72,0.926,0.005,0.007,37951.0,10132.0,1.0
participant_intercept[158],-0.293,0.988,-2.207,1.499,0.005,0.009,45915.0,10484.0,1.0
participant_intercept[159],-0.647,0.982,-2.519,1.157,0.005,0.008,41982.0,10468.0,1.0
participant_intercept[160],-1.123,0.989,-2.94,0.732,0.005,0.006,43773.0,9866.0,1.0
participant_intercept[161],-0.582,0.985,-2.481,1.204,0.005,0.007,40796.0,10233.0,1.0
participant_intercept[162],-0.073,0.98,-1.889,1.768,0.005,0.01,39931.0,10364.0,1.0
participant_intercept[163],-0.038,0.96,-1.81,1.774,0.005,0.009,41549.0,11276.0,1.0
participant_intercept[164],-0.216,0.995,-2.04,1.648,0.005,0.01,38363.0,11410.0,1.0
participant_intercept[165],0.712,0.993,-1.124,2.638,0.005,0.008,41627.0,10106.0,1.0
participant_intercept[166],-0.893,0.984,-2.739,0.996,0.005,0.007,40658.0,11290.0,1.0
participant_intercept[167],0.023,0.973,-1.795,1.859,0.005,0.009,39109.0,10147.0,1.0
participant_intercept[168],-0.115,0.986,-1.94,1.74,0.005,0.01,44739.0,10488.0,1.0
participant_intercept[169],0.541,0.96,-1.313,2.292,0.005,0.008,42520.0,10887.0,1.0
participant_intercept[170],-0.619,0.964,-2.436,1.2,0.005,0.007,43668.0,9822.0,1.0
participant_intercept[171],0.13,0.988,-1.749,1.961,0.005,0.009,41607.0,10922.0,1.0
participant_intercept[172],-0.822,0.998,-2.704,0.995,0.005,0.007,35470.0,10758.0,1.0
participant_intercept[173],0.408,0.977,-1.376,2.283,0.005,0.008,40071.0,10650.0,1.0
participant_intercept[174],0.937,0.981,-0.872,2.843,0.005,0.006,41432.0,11258.0,1.0
participant_intercept[175],0.291,0.983,-1.503,2.125,0.005,0.009,40960.0,10445.0,1.0
participant_intercept[176],-1.008,0.994,-2.882,0.861,0.005,0.007,39158.0,10680.0,1.0
participant_intercept[177],-0.575,0.964,-2.371,1.249,0.005,0.008,42259.0,10858.0,1.0
participant_intercept[178],-0.556,0.989,-2.454,1.266,0.005,0.008,38550.0,10738.0,1.0
participant_intercept[179],0.93,0.986,-0.869,2.823,0.005,0.006,40777.0,10077.0,1.0
participant_intercept[180],-1.444,0.963,-3.288,0.345,0.005,0.005,43993.0,10185.0,1.0
participant_intercept[181],0.194,0.981,-1.611,2.074,0.005,0.009,40395.0,10389.0,1.0
participant_intercept[182],-0.25,0.985,-2.137,1.572,0.005,0.009,36421.0,9964.0,1.0
participant_intercept[183],-0.688,1.013,-2.593,1.181,0.005,0.008,39912.0,10380.0,1.0
participant_intercept[184],-0.89,0.981,-2.734,0.934,0.005,0.007,40854.0,10995.0,1.0
participant_intercept[185],-0.811,0.966,-2.634,1.005,0.005,0.007,41668.0,10831.0,1.0
participant_intercept[186],0.937,0.988,-0.924,2.783,0.005,0.006,43669.0,10416.0,1.0
participant_intercept[187],-0.187,0.972,-2.002,1.617,0.005,0.009,38380.0,10532.0,1.0
participant_intercept[188],0.754,0.992,-1.09,2.611,0.005,0.008,38088.0,9650.0,1.0
participant_intercept[189],-0.38,0.959,-2.231,1.385,0.005,0.008,39947.0,10366.0,1.0
participant_intercept[190],0.932,0.99,-0.864,2.854,0.005,0.006,39066.0,10376.0,1.0
participant_intercept[191],0.55,0.951,-1.291,2.306,0.005,0.008,43061.0,10499.0,1.0
participant_intercept[192],0.94,1.005,-0.889,2.923,0.005,0.007,38677.0,10506.0,1.0
participant_intercept[193],1.523,0.962,-0.287,3.34,0.005,0.005,39738.0,10127.0,1.0
participant_intercept[194],-0.353,0.988,-2.234,1.492,0.005,0.009,38505.0,10915.0,1.0
participant_intercept[195],0.938,0.981,-0.863,2.829,0.005,0.006,39164.0,10671.0,1.0
participant_intercept[196],-1.14,0.963,-2.971,0.624,0.005,0.006,36236.0,9810.0,1.0
participant_intercept[197],-0.899,0.985,-2.751,0.945,0.005,0.007,41968.0,10767.0,1.0
participant_intercept[198],0.552,1.008,-1.26,2.511,0.005,0.008,44720.0,10504.0,1.0
participant_intercept[199],-0.874,0.968,-2.619,0.987,0.005,0.006,43169.0,10497.0,1.0
participant_intercept[200],-0.662,0.944,-2.476,1.08,0.005,0.007,39517.0,11509.0,1.0
participant_intercept[201],0.109,0.978,-1.728,1.926,0.005,0.009,38145.0,10892.0,1.0
participant_intercept[202],-0.037,0.981,-1.796,1.859,0.005,0.01,40651.0,11076.0,1.0
participant_intercept[203],-0.08,0.981,-1.966,1.728,0.005,0.009,38033.0,10270.0,1.0
participant_intercept[204],-0.134,0.988,-1.996,1.729,0.005,0.01,44275.0,9904.0,1.0
participant_intercept[205],-0.507,1.014,-2.403,1.407,0.005,0.009,35233.0,10388.0,1.0
participant_intercept[206],-0.138,0.998,-2.052,1.671,0.005,0.009,39099.0,10655.0,1.0
